,Learning_method,Role,Yearly_pay,Visualisation_tool,Charts,Organization_area,Undergraduate_major,Gender,Country,Hour_data_visualization,Hour_data_engineering,Hour_data_science,Hour_design,Hour_data_prep,Hour_build_portfolio,Presentation_format,tool_Excel,tool_Tableau,tool_R,tool_ggplot2,tool_Python,tool_D3,tool_Pen&Paper,tool_Illustrator,tool_PowerBI,tool_Plotly,chart_BarChart,chart_LineChart,chart_Scatterplot,chart_PieChart,chart_Hexbin/Heatmap,chart_Infographics,chart_Treemap,chart_FlowChart),chart_FlowDiagram(Sankey,chart_DAGRE,chart_ChoroplethMap,chart_NetworkDiagram,format_Presentations,format_Dashboard,format_Documents,format_Email,format_Embeddedinatool,format_StaticWebPage,format_InteractiveNotebook,format_Scrollytelling
236,Mostly Self-Taught,Engineer,$120k - $140k,"D3,Illustrator,Leaflet,Mapbox,React,WebGL","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap,NetworkDiagram,3DCharts,VR/ARCharts,Force-DirectedGraph",Private sector,Art,Man,USA,15.0,15.0,0.0,6.0,3.0,1.0,"Dashboard,StaticWebPage,Newspaperorotherphysicalhandout",no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,no,yes,no,no,no,yes,no,no
237,Mostly Self-Taught,Developer,$20k - $40k,"D3,Gephi,Mapbox,Python,React,Tableau,Vega,Otherphysicalmaterials","LineChart,BarChart,Scatterplot,ChoroplethMap",Private sector,Sociology,Man,Hungary,8.0,8.0,0.0,8.0,8.0,0.0,Dashboard,no,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no
238,Mostly Self-Taught,Analyst,$40k - $60k,"Excel,PowerBI,Salesforce","LineChart,BarChart,PieChart,Scatterplot",Not-for-profit,Christian Educational Ministries,Man,USA,2.0,5.0,0.0,2.0,5.0,1.0,"Embeddedinatool,Dashboard,Documents,Email,Newspaperorotherphysicalhandout",yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no
240,Mostly Self-Taught,Leadership,$140k - $160k,"D3,Illustrator,QGIS,Flourish,amCharts,Raw","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap",Journalism,Communications,Man,USA,1.0,2.0,2.0,1.0,3.0,0.0,"atopadatabase,orembeddedinastoryonourwebsite",no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no
243,Equal Parts School and Self-Taught,Leadership,$100k - $120k,"D3,Excel,ggplot2,Python,R,Tableau,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,Scatterplot,PictorialVisualization",Not-for-profit,French Language & Literature; Exercise & Health Sciences,Man,Kenya,1.0,2.0,3.0,0.0,1.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations,Email",yes,yes,yes,yes,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no
245,Mostly Self-Taught,Designer,$40k - $60k,"Excel,Illustrator,Pen&Paper,Otherphysicalmaterials","LineChart,BarChart,Infographics,PictorialVisualization",Public sector,Design,Man,Brazil,4.0,0.0,0.0,20.0,1.0,1.0,"Embeddedinatool,Dashboard,Presentations,Newspaperorotherphysicalhandout",yes,no,no,no,no,no,yes,yes,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,no,yes,no,no,no
247,Mostly Self-Taught,Developer,$20k - $40k,"D3,Excel,Processing,Python,GoogleSheets","LineChart,BarChart,Infographics",Private sector,Electronic Engineering,Man,Belgium,4.0,2.0,0.0,2.0,0.0,0.0,"Documents,Presentations",yes,no,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,yes,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
250,Mostly Self-Taught,Analyst,$120k - $140k,"ggplot2,Illustrator,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Film and Media Studies,Man,USA,10.0,10.0,2.0,6.0,15.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations,Email",no,yes,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,no,no,no
251,Mostly Self-Taught,Other,$60k - $80k,"ArcGIS,D3,Excel,ggplot2,Illustrator,PowerBI,Python,R,WebGL,Pen&Paper","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),Force-DirectedGraph",Construction,Architectural technology ,Man,England ,10.0,10.0,5.0,10.0,10.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no
253,Mostly Self-Taught,Leadership,$180k - $200k,"Excel,Illustrator,PowerBI,Pen&Paper,IgorProfromWavemetrics","LineChart,BarChart,Scatterplot,Customdesigns",Academic,Computational neuroscience,Man,USA,10.0,4.0,4.0,2.0,4.0,0.0,"Documents,Presentations,Email",yes,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,no,no
254,Mostly Self-Taught,Leadership,$80k - $100k,"ArcGIS,Excel,Qlik","LineChart,BarChart,Scatterplot",Not-for-profit,Education,Man,USA,20.0,0.0,10.0,5.0,5.0,0.0,"Dashboard,Documents,Presentations,Email",yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no
255,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,Tableau","LineChart,BarChart,PieChart,Treemap",Ad Agency,Political Science,Man,USA,15.0,0.0,0.0,10.0,20.0,1.0,Presentations,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no
257,Mostly Self-Taught,Leadership,$200k+,"Cytoscape,D3,ggplot2,Gephi,Illustrator,Leaflet,Mapbox,Python,R,React,Vue,Pen&Paper,P5/Processing","LineChart,BarChart,Scatterplot,NetworkDiagram,violin",Private sector,Mandarin Chinese,Man,USA,3.0,0.0,2.0,8.0,0.0,0.0,"Embeddedinatool,StaticWebPage,Documents,Presentations",no,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,yes,yes,no,no
258,Mostly Self-Taught,Designer,$120k - $140k,"Excel,Illustrator,Pen&Paper","LineChart,BarChart,Scatterplot",Private sector,Psychology,Man,USA,4.0,0.0,0.0,20.0,0.0,0.0,"Documents,Presentations",yes,no,no,no,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
259,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,ggplot2,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Infographics,Treemap,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Economics,Man,USA,4.0,1.0,2.0,8.0,1.0,0.0,"Dashboard,InteractiveNotebook,Presentations,Email,Newspaperorotherphysicalhandout",yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,yes,yes,no,yes,no,no,yes,no
260,Mostly Self-Taught,Leadership,$100k - $120k,"Excel,ggplot2,R","LineChart,BarChart,Scatterplot,Infographics",Academic,Film,Man,USA,5.0,5.0,5.0,1.0,10.0,0.0,"Dashboard,StaticWebPage,Documents,Presentations",yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no
263,Mostly Self-Taught,Analyst,$180k - $200k,"Excel,Tableau","LineChart,BarChart,Scatterplot,ChoroplethMap",Pharmaceutical,Biology,Man,USA,5.0,10.0,10.0,2.0,0.0,0.0,"Dashboard,Documents,Presentations",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no
264,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,ggplot2,Plotly,Processing,Python,R,Tableau","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap",Private sector,Fine Arts,Man,Canada,3.0,3.0,2.0,4.0,3.0,0.0,"Dashboard,Documents,Presentations,Email",yes,yes,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no
266,Mostly Self-Taught,Leadership,$120k - $140k,"D3,Excel,ggplot2,Illustrator,Plotly,Python,React,Canvas,Matplotlib","LineChart,BarChart,Scatterplot,Force-DirectedGraph",Private sector,Engineering and music,Man,USA,8.0,8.0,8.0,0.0,8.0,0.0,"Embeddedinatool,InteractiveNotebook,Documents,Presentations",yes,no,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,yes,no,yes,no
267,Mostly Self-Taught,Student,< $20k,"D3,Python,Tableau,WebComponents,Pen&Paper,Otherphysicalmaterials","BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,FlowDiagram(Sankey,DAGRE,FlowChart),Matrixchart,parallelcoordinate,bubblechart",Academic,Chemistry (Chemical Biology),Man,USA,2.0,0.0,0.0,2.0,1.0,0.0,"Documents,Presentations,Email,Newspaperorotherphysicalhandout",no,yes,no,no,yes,yes,yes,no,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,yes,no,yes,yes,no,no,no,no
268,Mostly Self-Taught,Scientist,$140k - $160k,"D3,ggplot2,Leaflet,R,Vue,Canvas","LineChart,BarChart,Scatterplot,Force-DirectedGraph",Public sector,Biology,Man,USA,10.0,2.0,10.0,1.0,2.0,0.0,"StaticWebPage,Documents,Presentations",no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
271,Mostly Self-Taught,Leadership,$180k - $200k,"ggplot2,Java,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Infographics,Treemap,NetworkDiagram,ChoroplethMap",Security,Information Systems,Man,USA,20.0,5.0,10.0,3.0,0.0,0.0,"Documents,Presentations,Email,Newspaperorotherphysicalhandout",no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,no,yes,yes,no,no,no,yes,yes,yes,no,yes,yes,no,no,no,no
275,Equal Parts School and Self-Taught,Student,$20k - $40k,"Excel,Python,Vue,Pen&Paper","BarChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Academic,Data Science ,Man,USA,6.0,0.0,12.0,12.0,12.0,0.0,"StaticWebPage,Email",yes,no,no,no,yes,no,yes,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,no,no
277,Mostly Self-Taught,Analyst,$100k - $120k,"D3,Python","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Electrical Engineering,Man,Japan,4.0,8.0,4.0,4.0,8.0,4.0,"Dashboard,StaticWebPage,InteractiveNotebook,Presentations",no,no,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no
281,Mostly Self-Taught,Analyst,$60k - $80k,"D3,Excel,ggplot2,Illustrator,Mapbox,Plotly,PowerBI,Python,Qlik,R,React,Tableau,WebGL,Greensock,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,PictorialVisualization,Treemap,Dendrogram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts,SwarmChart,Force-DirectedGraph",Private sector,"Economics, Finance",Man,Australia,3.0,2.0,15.0,0.0,8.0,0.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations",yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no
286,Mostly Self-Taught,Leadership,$200k+,"D3,Angular,Excel,Pen&Paper","LineChart,BarChart,Scatterplot,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Economics,Man,Australia,10.0,5.0,0.0,10.0,15.0,0.0,"Scrollytelling,InteractiveNotebook,Presentations,Email",yes,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,no,yes,yes,no,no,yes,no,no,yes,yes
289,Mostly Self-Taught,Developer,$80k - $100k,"D3,ggplot2,Illustrator,kepler.gl,QGIS,R,React,WebGL,Pen&Paper,Canvas","Infographics,PictorialVisualization,Treemap,ChoroplethMap,RadialChart",Private sector,Economics,Man,USA,20.0,0.0,0.0,5.0,5.0,0.0,"Dashboard,Documents,Email",no,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no
290,Mostly Self-Taught,Developer,$60k - $80k,"D3,Python,QGIS,Tableau",LineChart,Journalism,computer science,Man,Sweden,10.0,5.0,5.0,5.0,0.0,0.0,"Embeddedinatool,Scrollytelling,Presentations,Newspaperorotherphysicalhandout",no,yes,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,yes,no,no,yes
293,Mostly Self-Taught,Developer,$60k - $80k,D3,"LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Anthropology ,Man,USA,0.0,0.0,0.0,0.0,0.0,0.0,"Embeddedinatool,Dashboard",no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no
295,Equal Parts School and Self-Taught,Developer,$60k - $80k,"D3,React","LineChart,BarChart,PieChart,PictorialVisualization,ChoroplethMap",Private sector,Music,Man,USA,10.0,0.0,0.0,10.0,5.0,15.0,"Dashboard,Documents,Presentations,Email",no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no
296,Mostly Self-Taught,Analyst,$60k - $80k,"ArcGIS,Leaflet,Mapbox,kepler.gl,PowerBI,Python,QGIS","BarChart,PieChart,Hexbin/Heatmap,Infographics,ChoroplethMap,RasterMap",Public sector,Geography,Man,USA,15.0,7.0,10.0,3.0,5.0,0.0,"Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations",no,no,no,no,yes,no,no,no,yes,no,yes,no,no,yes,yes,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,yes,yes,no
298,Mostly Self-Taught,Scientist,$100k - $120k,"ArcGIS,Excel","LineChart,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Geology,Man,USA,8.0,0.0,2.0,4.0,8.0,0.0,"Documents,Presentations",yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,no,no
299,Mostly Self-Taught,Student,$20k - $40k,"ArcGIS,Excel,ggplot2,Leaflet,QGIS,R,Pen&Paper,Figma","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,"Environmental Engineering, Earth Science",Man,Canada,5.0,10.0,20.0,1.0,20.0,0.0,"StaticWebPage,Documents,Presentations",yes,no,yes,yes,no,no,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no
300,Mostly From School (or other formal courses),Student,$20k - $40k,"Excel,ggplot2,Leaflet,Plotly,Python,R","LineChart,BarChart,Scatterplot,Infographics,PictorialVisualization,Treemap,Dendrogram,RasterMap",Academic,Statistics,Man,USA,5.0,5.0,10.0,2.0,10.0,1.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",yes,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,no
301,Equal Parts School and Self-Taught,Student,$20k - $40k,"ggplot2,Plotly,Python,R","LineChart,BarChart,Scatterplot,Box&WhiskerPlot",Academic,Psychology,Man,USA,3.0,3.0,2.0,2.0,10.0,0.0,"Documents,Presentations",no,no,yes,yes,yes,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
302,Equal Parts School and Self-Taught,Academic,$20k - $40k,"Python,Matplotlib,inkskape","LineChart,Scatterplot,Hexbin/Heatmap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart),3DCharts",Academic,"chemistry, computer science ",Man,USA,10.0,10.0,2.0,1.0,3.0,2.0,"InteractiveNotebook,Documents,Presentations",no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,no,no,no,yes,no
304,Mostly Self-Taught,Academic,$20k - $40k,"Excel,Python,Matplotlib,libreoffice","LineChart,BarChart,PieChart,Scatterplot,3DCharts",Academic,"Chemistry, Applied Math",Man,USA,2.0,1.0,0.0,0.0,4.0,10.0,"StaticWebPage,Documents,Presentations",yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,yes,no,no,yes,no,no
305,Mostly Self-Taught,Scientist,$20k - $40k,Python,"LineChart,Scatterplot,Hexbin/Heatmap,3DCharts",Academic,Physics,Man,USA,4.0,0.0,10.0,0.0,4.0,1.0,"InteractiveNotebook,Documents,Presentations,Email",no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no,no,yes,no
306,Mostly Self-Taught,Designer,< $20k,"D3,Excel,ggplot2,Illustrator,Processing,R,Tableau,Pen&Paper,P5/Processing","LineChart,BarChart,PieChart,Scatterplot,Treemap,ChoroplethMap",Private sector,UX Design,Man,Colombia,8.0,3.0,3.0,8.0,8.0,3.0,"Embeddedinatool,Dashboard,StaticWebPage",yes,yes,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,no,no
309,Mostly Self-Taught,Other,$40k - $60k,"D3,Excel,ggplot2,Illustrator,Leaflet,Mapbox,QGIS,R,React,Vue,Pen&Paper,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization,Treemap,NetworkDiagram,ChoroplethMap,RasterMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Journalism,Man,USA,8.0,8.0,8.0,8.0,8.0,1.0,"Scrollytelling,StaticWebPage,Newspaperorotherphysicalhandout",yes,no,yes,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes
310,Mostly Self-Taught,Scientist,$180k - $200k,"Excel,ggplot2,R,RawGraphs.io","LineChart,BarChart,Scatterplot,Treemap,Dendrogram,NetworkDiagram,ChoroplethMap,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,Psychology,Man,USA,4.0,2.0,4.0,1.0,3.0,1.0,"Scrollytelling,Documents,Presentations,Slack",yes,no,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes
311,Mostly Self-Taught,Analyst,$100k - $120k,"Excel,Mapbox,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,ChoroplethMap,RasterMap",Private sector,Mathematics,Man,United Kingdom,15.0,5.0,0.0,3.0,5.0,3.0,"Dashboard,StaticWebPage,Documents,Presentations,Email",yes,yes,no,no,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,yes,no,yes,yes,yes,yes,no,yes,no,no
312,Mostly Self-Taught,Leadership,$120k - $140k,"Excel,PowerBI,PowerPoint","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization",Private sector,Economics,Man,United Kingdom,7.0,0.0,0.0,7.0,5.0,5.0,"Dashboard,Scrollytelling,StaticWebPage,Documents,Presentations",yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes
313,Mostly Self-Taught,Leadership,$100k - $120k,"D3,R","BarChart,PieChart,Scatterplot,Hexbin/Heatmap,NetworkDiagram,Force-DirectedGraph,Customcircularcharts",Private sector,Biochemistry ,Man,France,5.0,10.0,10.0,1.0,1.0,0.0,"Embeddedinatool,Dashboard,Presentations",no,no,yes,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,no,no
314,Mostly Self-Taught,Leadership,$160k - $180k,"Excel,Tableau","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Treemap",Private sector,Finance,Man,France,4.0,0.0,0.0,1.0,2.0,0.0,"Dashboard,Presentations",yes,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,no,no,no,no,no,no
315,Mostly Self-Taught,Leadership,$20k - $40k,"Excel,Plotly,Python,QGIS,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Basics.,Man,Slovenia,4.0,12.0,2.0,1.0,12.0,0.0,"InteractiveNotebook,Documents,Presentations,Email",yes,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,yes,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no
316,Equal Parts School and Self-Taught,Analyst,$40k - $60k,"Excel,ggplot2,Microstrategy,Plotly,R","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,RasterMap",Private sector,Economics,Man,Mexico,10.0,0.0,10.0,5.0,15.0,5.0,"Dashboard,StaticWebPage,InteractiveNotebook",yes,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,yes,yes,no
317,Mostly Self-Taught,Scientist,$100k - $120k,"Excel,Python,Matplotlib","LineChart,BarChart,Scatterplot,Hexbin/Heatmap",Private sector,biochemistry,Man,France,1.0,4.0,1.0,1.0,1.0,1.0,"Documents,Presentations",yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,no,yes,no,no,no,no,no
318,Equal Parts School and Self-Taught,Scientist,$80k - $100k,"Excel,ggplot2,Highcharts,R,Tableau","LineChart,BarChart,Scatterplot,Infographics,FlowDiagram(Sankey,DAGRE,FlowChart)",Public sector,Music - Piano,Man,USA,2.0,18.0,5.0,1.0,14.0,0.0,"Dashboard,StaticWebPage,Documents,Presentations,Email",yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,yes,no,no,yes,no,yes,yes,yes,no,no,yes,yes,yes,yes,no,yes,no,no
321,Mostly Self-Taught,Analyst,$60k - $80k,"D3,ggplot2,Leaflet,Plotly,Python,R","LineChart,BarChart,Scatterplot,ChoroplethMap",Not-for-profit,Philosophy/Computer Science,Man,USA,1.0,15.0,10.0,1.0,10.0,2.0,"Embeddedinatool,Dashboard,StaticWebPage,InteractiveNotebook,Documents,Presentations,Email",no,no,yes,yes,yes,yes,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no
322,Mostly Self-Taught,Analyst,$20k - $40k,Tableau,"LineChart,BarChart,Hexbin/Heatmap,Treemap",Public sector,Pharmaceutical Science ,Man,United Kingdom,20.0,5.0,5.0,5.0,1.0,1.0,"Dashboard,InteractiveNotebook,Presentations,Email",no,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,no,yes,no,no,yes,no
323,Equal Parts School and Self-Taught,Leadership,$80k - $100k,"D3,Excel,Illustrator,PowerBI,Tableau,Vega","LineChart,BarChart,PieChart,Hexbin/Heatmap,Infographics,PictorialVisualization,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Private sector,International and Global Studies; Near Eastern and Judaic Studies,Man,USA,15.0,0.0,0.0,10.0,2.0,0.0,"Documents,Presentations",yes,yes,no,no,no,yes,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,no,no,no
327,Mostly Self-Taught,Analyst,$80k - $100k,"Illustrator,PowerBI,Python,Tableau,Canvas","LineChart,BarChart,PieChart,Scatterplot,Hexbin/Heatmap,Infographics,PictorialVisualization",Private sector,graphic design ,Man,USA,8.0,2.0,2.0,8.0,16.0,0.0,"Scrollytelling,Presentations,Email",no,yes,no,no,yes,no,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,no,yes
328,Mostly Self-Taught,Analyst,$60k - $80k,"ggplot2,R,Tableau,Pen&Paper","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,Treemap,Dendrogram,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Not-for-profit,Urban Studies,Man,USA,4.0,0.0,4.0,0.0,4.0,5.0,"Dashboard,Documents,Presentations,Email",no,yes,yes,yes,no,no,yes,no,no,no,yes,yes,yes,no,yes,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,no,no,no
329,Mostly Self-Taught,Leadership,$60k - $80k,"Excel,Tableau","LineChart,BarChart,Treemap",Academic,Music,Man,United Kingdom,2.0,4.0,0.0,0.5,2.0,0.0,"Embeddedinatool,Dashboard,Documents,Presentations,Email",yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,yes,no,no,no
330,Equal Parts School and Self-Taught,Developer,$80k - $100k,"D3,Illustrator,QGIS,React","LineChart,BarChart,Scatterplot,Hexbin/Heatmap,ChoroplethMap",Journalism,Theatre Studies,Man,Switzerland,16.0,4.0,4.0,8.0,8.0,0.0,"Scrollytelling,StaticWebPage,Newspaperorotherphysicalhandout",no,no,yes,no,no,yes,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,yes,no,yes
334,Mostly Self-Taught,Other,$20k - $40k,"D3,Excel,Python,R,Tableau,Pen&Paper","BarChart,Infographics,NetworkDiagram,FlowDiagram(Sankey,DAGRE,FlowChart)",Journalism,Journalism,Man,France,3.0,0.0,0.0,0.0,3.0,2.0,"StaticWebPage,Newspaperorotherphysicalhandout",yes,yes,yes,no,yes,yes,yes,no,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,no
335,Equal Parts School and Self-Taught,Analyst,$60k - $80k,"Excel,Tableau,Pen&Paper","LineChart,BarChart,Hexbin/Heatmap,Treemap",Academic,Art,Man,USA,8.0,8.0,0.0,8.0,17.0,1.0,"Embeddedinatool,Dashboard,Documents,Presentations",yes,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,no,yes,no,no,no
